DATE,NLDCPIALLMINMEI_NBD20060101
2005-12-01,100.35427
2006-01-01,100.00000
2006-02-01,100.38970
2006-03-01,101.18092
2006-04-01,101.64147
2006-05-01,101.73595
2006-06-01,101.36986
2006-07-01,101.18092
2006-08-01,101.71233
2006-09-01,102.10203
2006-10-01,101.84223
2006-11-01,101.67690
2006-12-01,101.31082
2007-01-01,101.42891
2007-02-01,101.88947
2007-03-01,102.99953
2007-04-01,103.49551
2007-05-01,103.56637
2007-06-01,103.14124
2007-07-01,102.65706
2007-08-01,102.83420
2007-09-01,103.43647
2007-10-01,103.48370
2007-11-01,103.63722
2007-12-01,103.20028
2008-01-01,103.48370
2008-02-01,104.18044
2008-03-01,105.20784
2008-04-01,105.59754
2008-05-01,105.97544
2008-06-01,105.78649
2008-07-01,105.95182
2008-08-01,106.15257
2008-09-01,106.61313
2008-10-01,106.36514
2008-11-01,105.97544
2008-12-01,105.20784
2009-01-01,105.47945
2009-02-01,106.22343
2009-03-01,107.28625
2009-04-01,107.52244
2009-05-01,107.66415
2009-06-01,107.28625
2009-07-01,106.15257
2009-08-01,106.44780
2009-09-01,107.01464
2009-10-01,107.10912
2009-11-01,107.00283
2009-12-01,106.37695
2010-01-01,106.34152
2010-02-01,107.09731
2010-03-01,108.37270
2010-04-01,108.73878
2010-05-01,108.69154
2010-06-01,108.17194
2010-07-01,107.86490
2010-08-01,108.03023
2010-09-01,108.70335
2010-10-01,108.79783
2010-11-01,108.66793
2010-12-01,108.43174
2011-01-01,108.31365
2011-02-01,109.12848
2011-03-01,110.36845
2011-04-01,110.95890
2011-05-01,111.04157
2011-06-01,110.49835
2011-07-01,111.05338
2011-08-01,111.23051
2011-09-01,111.63203
2011-10-01,111.67926
2011-11-01,111.33680
2011-12-01,111.05338
2012-01-01,110.99433
2012-02-01,111.83278
2012-03-01,113.10817
2012-04-01,113.56873
2012-05-01,113.40340
2012-06-01,112.86018
2012-07-01,113.60416
2012-08-01,113.74587
2012-09-01,114.21823
2012-10-01,114.89136
2012-11-01,114.41899
2012-12-01,114.26547
2013-01-01,114.28909
2013-02-01,115.18658
2013-03-01,116.41474
2013-04-01,116.52102
2013-05-01,116.54464
2013-06-01,116.10770
2013-07-01,117.08786
2013-08-01,116.94615
2013-09-01,117.00520
2013-10-01,116.67454
2013-11-01,116.09589
2013-12-01,116.15494
2014-01-01,115.90694
2014-02-01,116.40293
2014-03-01,117.37128
2014-04-01,117.91450
2014-05-01,117.51299
2014-06-01,117.19414
2014-07-01,118.15068
2014-08-01,118.06802
2014-09-01,118.04440
2014-10-01,117.90269
2014-11-01,117.20595
2014-12-01,116.96977
2015-01-01,115.90694
2015-02-01,116.54464
2015-03-01,117.79641
2015-04-01,118.55220
2015-05-01,118.81200
2015-06-01,118.36325
2015-07-01,119.27256
2015-08-01,118.90647
2015-09-01,118.68210
2015-10-01,118.57581
2015-11-01,117.91450
2015-12-01,117.77279
2016-01-01,116.56826
2016-02-01,117.26500
2016-03-01,118.45772
2016-04-01,118.56401
2016-05-01,118.77657
2016-06-01,118.39868
2016-07-01,118.98914
2016-08-01,119.13085
2016-09-01,118.76476
2016-10-01,119.07180
2016-11-01,118.67029
2016-12-01,118.93009
2017-01-01,118.50496
2017-02-01,119.37884
2017-03-01,119.79216
2017-04-01,120.42985
2017-05-01,120.04015
2017-06-01,119.70949
2017-07-01,120.58337
2017-08-01,120.77232
2017-09-01,120.48890
2017-10-01,120.65423
2017-11-01,120.45347
2017-12-01,120.41804
2018-01-01,120.24091
2018-02-01,120.81956
2018-03-01,121.00850
2018-04-01,121.76429
2018-05-01,122.13037
2018-06-01,121.75248
2018-07-01,123.14596
2018-08-01,123.28767
2018-09-01,122.75626
2018-10-01,123.19320
2018-11-01,122.89797
2018-12-01,122.77988
2019-01-01,122.87435
2019-02-01,123.96079
2019-03-01,124.43316
2019-04-01,125.27161
2019-05-01,125.10628
2019-06-01,124.98819
2019-07-01,126.23996
2019-08-01,126.79499
2019-09-01,126.00378
2019-10-01,126.54700
2019-11-01,126.03921
2019-12-01,126.12187
2020-01-01,125.14171
2020-02-01,125.93292
2020-03-01,126.18092
2020-04-01,126.75957
2020-05-01,126.57062
2020-06-01,126.96032
2020-07-01,128.35380
2020-08-01,127.69249
2020-09-01,127.39726
2020-10-01,128.09400
2020-11-01,127.07841
2020-12-01,127.36183
