DATE,IRLTLT01NLM156N
2000-01-01,5.666
2000-02-01,5.655
2000-03-01,5.479
2000-04-01,5.381
2000-05-01,5.501
2000-06-01,5.309
2000-07-01,5.401
2000-08-01,5.361
2000-09-01,5.414
2000-10-01,5.348
2000-11-01,5.296
2000-12-01,5.029
2001-01-01,4.93
2001-02-01,4.916
2001-03-01,4.826
2001-04-01,5.016
2001-05-01,5.221
2001-06-01,5.17
2001-07-01,5.172
2001-08-01,4.979
2001-09-01,4.979
2001-10-01,4.765
2001-11-01,4.62
2001-12-01,4.89
2002-01-01,4.969
2002-02-01,5.025
2002-03-01,5.272
2002-04-01,5.25
2002-05-01,5.306
2002-06-01,5.162
2002-07-01,4.993
2002-08-01,4.711
2002-09-01,4.497
2002-10-01,4.58
2002-11-01,4.555
2002-12-01,4.363
2003-01-01,4.189
2003-02-01,3.971
2003-03-01,4.013
2003-04-01,4.232
2003-05-01,3.913
2003-06-01,3.722
2003-07-01,4.036
2003-08-01,4.185
2003-09-01,4.212
2003-10-01,4.27
2003-11-01,4.409
2003-12-01,4.326
2004-01-01,4.181
2004-02-01,4.122
2004-03-01,3.934
2004-04-01,4.127
2004-05-01,4.371
2004-06-01,4.422
2004-07-01,4.306
2004-08-01,4.146
2004-09-01,4.09
2004-10-01,3.964
2004-11-01,3.845
2004-12-01,3.632
2005-01-01,3.558
2005-02-01,3.547
2005-03-01,3.689
2005-04-01,3.477
2005-05-01,3.304
2005-06-01,3.134
2005-07-01,3.269
2005-08-01,3.283
2005-09-01,3.116
2005-10-01,3.279
2005-11-01,3.478
2005-12-01,3.353
2006-01-01,3.327
2006-02-01,3.476
2006-03-01,3.656
2006-04-01,3.921
2006-05-01,3.964
2006-06-01,3.973
2006-07-01,3.994
2006-08-01,3.903
2006-09-01,3.778
2006-10-01,3.82
2006-11-01,3.749
2006-12-01,3.819
2007-01-01,4.052
2007-02-01,4.074
2007-03-01,3.978
2007-04-01,4.194
2007-05-01,4.328
2007-06-01,4.614
2007-07-01,4.564
2007-08-01,4.383
2007-09-01,4.343
2007-10-01,4.376
2007-11-01,4.209
2007-12-01,4.338
2008-01-01,4.131
2008-02-01,4.046
2008-03-01,3.974
2008-04-01,4.21
2008-05-01,4.362
2008-06-01,4.734
2008-07-01,4.687
2008-08-01,4.398
2008-09-01,4.353
2008-10-01,4.228
2008-11-01,3.963
2008-12-01,3.647
2009-01-01,3.763
2009-02-01,3.797
2009-03-01,3.658
2009-04-01,3.771
2009-05-01,3.853
2009-06-01,3.956
2009-07-01,3.764
2009-08-01,3.609
2009-09-01,3.58
2009-10-01,3.533
2009-11-01,3.52
2009-12-01,3.438
2010-01-01,3.467
2010-02-01,3.356
2010-03-01,3.368
2010-04-01,3.321
2010-05-01,3.018
2010-06-01,2.899
2010-07-01,2.853
2010-08-01,2.558
2010-09-01,2.524
2010-10-01,2.577
2010-11-01,2.785
2010-12-01,3.155
2011-01-01,3.228
2011-02-01,3.408
2011-03-01,3.423
2011-04-01,3.647
2011-05-01,3.403
2011-06-01,3.283
2011-07-01,3.172
2011-08-01,2.677
2011-09-01,2.336
2011-10-01,2.464
2011-11-01,2.446
2011-12-01,2.376
2012-01-01,2.197
2012-02-01,2.236
2012-03-01,2.249
2012-04-01,2.291
2012-05-01,1.961
2012-06-01,1.926
2012-07-01,1.747
2012-08-01,1.757
2012-09-01,1.844
2012-10-01,1.767
2012-11-01,1.65
2012-12-01,1.562
2013-01-01,1.738
2013-02-01,1.827
2013-03-01,1.669
2013-04-01,1.663
2013-05-01,1.691
2013-06-01,2
2013-07-01,2.032
2013-08-01,2.196
2013-09-01,2.322
2013-10-01,2.177
2013-11-01,2.056
2013-12-01,2.156
2014-01-01,2.098
2014-02-01,1.891
2014-03-01,1.81
2014-04-01,1.846
2014-05-01,1.709
2014-06-01,1.598
2014-07-01,1.407
2014-08-01,1.2
2014-09-01,1.154
2014-10-01,1.032
2014-11-01,0.934
2014-12-01,0.777
2015-01-01,0.52
2015-02-01,0.416
2015-03-01,0.326
2015-04-01,0.314
2015-05-01,0.754
2015-06-01,1.054
2015-07-01,0.986
2015-08-01,0.853
2015-09-01,0.866
2015-10-01,0.725
2015-11-01,0.716
2015-12-01,0.754
2016-01-01,0.646
2016-02-01,0.371
2016-03-01,0.32
2016-04-01,0.395
2016-05-01,0.384
2016-06-01,0.25
2016-07-01,0.062
2016-08-01,0.027
2016-09-01,0.061
2016-10-01,0.156
2016-11-01,0.385
2016-12-01,0.436
2017-01-01,0.481
2017-02-01,0.486
2017-03-01,0.485
2017-04-01,0.498
2017-05-01,0.589
2017-06-01,0.503
2017-07-01,0.688
2017-08-01,0.542
2017-09-01,0.532
2017-10-01,0.541
2017-11-01,0.468
2017-12-01,0.452
2018-01-01,0.611
2018-02-01,0.761
2018-03-01,0.626
2018-04-01,0.69
2018-05-01,0.671
2018-06-01,0.565
2018-07-01,0.474
2018-08-01,0.473
2018-09-01,0.551
2018-10-01,0.582
2018-11-01,0.518
2018-12-01,0.401
2019-01-01,0.332
2019-02-01,0.236
2019-03-01,0.15
2019-04-01,0.195
2019-05-01,0.11
2019-06-01,-0.092
2019-07-01,-0.206
2019-08-01,-0.499
2019-09-01,-0.427
2019-10-01,-0.314
2019-11-01,-0.192
2019-12-01,-0.135
2020-01-01,-0.17
2020-02-01,-0.335
2020-03-01,-0.326
2020-04-01,-0.218
2020-05-01,-0.312
2020-06-01,-0.293
2020-07-01,-0.39
2020-08-01,-0.412
2020-09-01,-0.441
2020-10-01,-0.528
2020-11-01,-0.543
2020-12-01,-0.553
2021-01-01,-0.532
2021-02-01,-0.392
2021-03-01,-0.331
2021-04-01,-0.296
2021-05-01,-0.186
2021-06-01,-0.236
2021-07-01,-0.381
2021-08-01,-0.48
2021-09-01,-0.339
2021-10-01,-0.178
2021-11-01,-0.268
2021-12-01,-0.318
