Perioden;NietSeizoengecorrigeerd_7
2003-01;     5.6
2003-02;     5.8
2003-03;     5.9
2003-04;     5.8
2003-05;     5.7
2003-06;     6.0
2003-07;     5.6
2003-08;     5.8
2003-09;     6.1
2003-10;     6.2
2003-11;     6.3
2003-12;     6.1
2004-01;     6.9
2004-02;     6.9
2004-03;     7.1
2004-04;     7.0
2004-05;     6.8
2004-06;     6.9
2004-07;     6.3
2004-08;     6.5
2004-09;     6.6
2004-10;     6.8
2004-11;     6.8
2004-12;     6.7
2005-01;     7.3
2005-02;     7.5
2005-03;     7.6
2005-04;     7.2
2005-05;     7.1
2005-06;     7.0
2005-07;     6.5
2005-08;     6.6
2005-09;     6.8
2005-10;     6.8
2005-11;     6.7
2005-12;     6.4
2006-01;     6.8
2006-02;     6.9
2006-03;     6.7
2006-04;     6.3
2006-05;     6.2
2006-06;     5.9
2006-07;     5.6
2006-08;     5.6
2006-09;     5.8
2006-10;     5.9
2006-11;     5.9
2006-12;     5.4
2007-01;     6.0
2007-02;     6.2
2007-03;     5.8
2007-04;     5.4
2007-05;     5.4
2007-06;     5.1
2007-07;     5.0
2007-08;     4.8
2007-09;     5.1
2007-10;     5.1
2007-11;     5.1
2007-12;     4.7
2008-01;     5.2
2008-02;     5.1
2008-03;     5.1
2008-04;     4.9
2008-05;     4.8
2008-06;     4.7
2008-07;     4.4
2008-08;     4.3
2008-09;     4.7
2008-10;     4.7
2008-11;     4.7
2008-12;     4.5
2009-01;     5.1
2009-02;     5.3
2009-03;     5.3
2009-04;     5.3
2009-05;     5.3
2009-06;     5.2
2009-07;     5.2
2009-08;     5.3
2009-09;     5.7
2009-10;     5.7
2009-11;     5.9
2009-12;     5.8
2010-01;     6.5
2010-02;     6.5
2010-03;     6.5
2010-04;     6.2
2010-05;     6.1
2010-06;     6.0
2010-07;     5.9
2010-08;     5.7
2010-09;     6.0
2010-10;     5.9
2010-11;     5.9
2010-12;     5.6
2011-01;     6.1
2011-02;     6.2
2011-03;     6.0
2011-04;     5.9
2011-05;     5.9
2011-06;     5.6
2011-07;     5.8
2011-08;     5.7
2011-09;     6.2
2011-10;     6.4
2011-11;     6.6
2011-12;     6.2
2012-01;     6.8
2012-02;     6.8
2012-03;     6.8
2012-04;     6.9
2012-05;     6.7
2012-06;     6.5
2012-07;     6.6
2012-08;     6.4
2012-09;     7.0
2012-10;     7.0
2012-11;     7.2
2012-12;     7.1
2013-01;     7.8
2013-02;     8.0
2013-03;     8.2
2013-04;     8.1
2013-05;     8.1
2013-06;     8.1
2013-07;     8.3
2013-08;     8.1
2013-09;     8.5
2013-10;     8.5
2013-11;     8.4
2013-12;     8.2
2014-01;     8.9
2014-02;     9.0
2014-03;     8.9
2014-04;     8.8
2014-05;     8.5
2014-06;     8.1
2014-07;     8.0
2014-08;     7.7
2014-09;     8.1
2014-10;     8.1
2014-11;     8.1
2014-12;     8.0
2015-01;     8.6
2015-02;     8.4
2015-03;     8.4
2015-04;     8.2
2015-05;     8.0
2015-06;     7.7
2015-07;     7.5
2015-08;     7.3
2015-09;     7.8
2015-10;     7.9
2015-11;     7.6
2015-12;     7.3
2016-01;     7.8
2016-02;     7.8
2016-03;     7.7
2016-04;     7.5
2016-05;     7.2
2016-06;     6.9
2016-07;     6.7
2016-08;     6.4
2016-09;     6.7
2016-10;     6.7
2016-11;     6.5
2016-12;     6.1
2017-01;     6.7
2017-02;     6.6
2017-03;     6.4
2017-04;     6.3
2017-05;     6.1
2017-06;     5.7
2017-07;     5.6
2017-08;     5.3
2017-09;     5.7
2017-10;     5.5
2017-11;     5.4
2017-12;     5.2
2018-01;     5.5
2018-02;     5.4
2018-03;     5.3
2018-04;     5.1
2018-05;     4.9
2018-06;     4.7
2018-07;     4.6
2018-08;     4.5
2018-09;     4.8
2018-10;     4.7
2018-11;     4.5
2018-12;     4.4
2019-01;     4.9
2019-02;     4.7
2019-03;     4.6
2019-04;     4.5
2019-05;     4.3
2019-06;     4.3
2019-07;     4.2
2019-08;     4.2
2019-09;     4.5
2019-10;     4.5
2019-11;     4.5
2019-12;     4.0
2020-01;     4.3
2020-02;     4.2
2020-03;     4.3
2020-04;     4.6
2020-05;     4.6
2020-06;     5.3
2020-07;     5.3
2020-08;     5.2
2020-09;     5.4
2020-10;     5.3
2020-11;     5.0
2020-12;     4.7
2021-01;     4.9
2021-02;     4.9
2021-03;     4.7
2021-04;     4.5
2021-05;     4.3
2021-06;     4.2
2021-07;     3.8
2021-08;     4.0
2021-09;     4.2
2021-10;     4.0
2021-11;     3.6
2021-12;     3.6
2022-01;     3.8
2022-02;     3.7
2022-03;     3.5
2022-04;     3.3
2022-05;     3.2
2022-06;     3.5
2022-07;     3.4
2022-08;     3.7
